"DateTime","4RH","1RV","2RV","3RH","Series 5","Series 6","Series 7"
"2025-09-04 01:46:00",,,,0.89209,,,
"2025-09-04 01:46:00",,,,0.89209,,,
"2025-09-04 02:46:00",1.25034,1.31733,3.6209,0.89343,,,
"2025-09-04 02:46:00",,1.31733,3.6209,0.89343,,,
"2025-09-04 02:46:00",,1.31733,3.6209,0.89343,,,
"2025-09-04 02:46:00",,1.31733,3.6209,0.89343,,,
"2025-09-04 02:46:00",,1.31733,3.6209,0.89343,,,
"2025-09-04 02:46:00",,1.31733,3.6209,0.89343,,,
"2025-09-04 02:46:00",,,3.6209,,,,
"2025-09-04 02:46:00",,,3.6209,,,,
"2025-09-04 02:46:00",,,3.6209,,,,
"2025-09-04 03:46:00",1.20268,1.34965,5.31704,0.83166,,,
"2025-09-04 03:46:00",,1.34965,5.31704,0.83166,,,
"2025-09-04 03:46:00",,1.34965,5.31704,0.83166,,,
"2025-09-04 03:46:00",,1.34965,5.31704,0.83166,,,
"2025-09-04 03:46:00",,1.34965,5.31704,0.83166,,,
"2025-09-04 03:46:00",,1.34965,5.31704,0.83166,,,
"2025-09-04 03:46:00",,1.34965,5.31704,,,,
"2025-09-04 03:46:00",,1.34965,5.31704,,,,
"2025-09-04 03:46:00",,,5.31704,,,,
"2025-09-04 03:46:00",,,5.31704,,,,
"2025-09-04 03:46:00",,,5.31704,,,,
"2025-09-04 03:46:00",,,5.31704,,,,
"2025-09-04 04:46:00",1.16526,1.61534,5.52799,0.82072,,,
"2025-09-04 04:46:00",1.16526,1.61534,5.52799,0.82072,,,
"2025-09-04 04:46:00",,1.61534,5.52799,0.82072,,,
"2025-09-04 04:46:00",,1.61534,5.52799,0.82072,,,
"2025-09-04 04:46:00",,1.61534,5.52799,,,,
"2025-09-04 04:46:00",,1.61534,5.52799,,,,
"2025-09-04 04:46:00",,1.61534,,,,,
"2025-09-04 04:46:00",,1.61534,,,,,
"2025-09-04 04:46:00",,1.61534,,,,,
"2025-09-04 05:46:00",1.15673,1.83987,6.8782,0.85048,,,
"2025-09-04 05:46:00",,1.83987,6.8782,0.85048,,,
"2025-09-04 05:46:00",,1.83987,6.8782,0.85048,,,
"2025-09-04 05:46:00",,1.83987,6.8782,0.85048,,,
"2025-09-04 05:46:00",,1.83987,6.8782,0.85048,,,
"2025-09-04 05:46:00",,1.83987,6.8782,0.85048,,,
"2025-09-04 05:46:00",,1.83987,6.8782,0.85048,,,
"2025-09-04 05:46:00",,,6.8782,0.85048,,,
"2025-09-04 05:46:00",,,6.8782,0.85048,,,
"2025-09-04 06:46:00",1.1485,1.53394,5.30232,0.8438,,,
"2025-09-04 06:46:00",1.1485,1.53394,5.30232,0.8438,,,
"2025-09-04 06:46:00",,1.53394,5.30232,0.8438,,,
"2025-09-04 06:46:00",,1.53394,5.30232,0.8438,,,
"2025-09-04 06:46:00",,1.53394,5.30232,0.8438,,,
"2025-09-04 06:46:00",,1.53394,5.30232,0.8438,,,
"2025-09-04 06:46:00",,1.53394,,0.8438,,,
"2025-09-04 06:46:00",,,,0.8438,,,
"2025-09-04 07:46:00",1.10454,1.35535,5.39971,0.78881,,,
"2025-09-04 07:46:00",1.10454,1.35535,5.39971,0.78881,,,
"2025-09-04 07:46:00",,1.35535,5.39971,0.78881,,,
"2025-09-04 07:46:00",,1.35535,,0.78881,,,
"2025-09-04 07:46:00",,,,0.78881,,,
"2025-09-04 08:46:00",1.12974,1.32247,5.49349,0.79242,,,
"2025-09-04 08:46:00",,1.32247,5.49349,0.79242,,,
"2025-09-04 08:46:00",,1.32247,5.49349,0.79242,,,
"2025-09-04 08:46:00",,1.32247,5.49349,0.79242,,,
"2025-09-04 08:46:00",,1.32247,5.49349,0.79242,,,
"2025-09-04 08:46:00",,1.32247,5.49349,0.79242,,,
"2025-09-04 08:46:00",,,5.49349,0.79242,,,
"2025-09-04 08:46:00",,,5.49349,,,,
"2025-09-04 08:46:00",,,5.49349,,,,
"2025-09-04 08:46:00",,,5.49349,,,,
"2025-09-04 09:46:00",1.19059,1.2101,4.58702,0.84814,,,
"2025-09-04 09:46:00",,1.2101,4.58702,0.84814,,,
"2025-09-04 09:46:00",,1.2101,4.58702,0.84814,,,
"2025-09-04 09:46:00",,1.2101,4.58702,0.84814,,,
"2025-09-04 09:46:00",,1.2101,4.58702,0.84814,,,
"2025-09-04 09:46:00",,1.2101,,0.84814,,,
"2025-09-04 09:46:00",,1.2101,,0.84814,,,
"2025-09-04 09:46:00",,1.2101,,0.84814,,,
"2025-09-04 10:46:00",1.13039,1.53283,4.9483,0.82822,,,
"2025-09-04 10:46:00",,1.53283,4.9483,0.82822,,,
"2025-09-04 10:46:00",,1.53283,4.9483,0.82822,,,
"2025-09-04 10:46:00",,1.53283,4.9483,0.82822,,,
"2025-09-04 10:46:00",,,4.9483,0.82822,,,
"2025-09-04 10:46:00",,,4.9483,0.82822,,,
"2025-09-04 10:46:00",,,4.9483,,,,
"2025-09-04 10:46:00",,,4.9483,,,,
"2025-09-04 10:46:00",,,4.9483,,,,
