"DateTime","4RH","1RV","2RV","3RH","Series 5","Series 6","Series 7"
"2025-12-17 21:46:00",0.37159,3.03513,3.80361,0.27839,,,
"2025-12-17 22:46:00",0.34824,2.34215,3.32801,0.2772,,,
"2025-12-17 23:46:00",0.34872,2.50266,4.28351,0.29014,,,
"2025-12-18 00:46:00",0.36431,2.3652,3.92543,0.2994,,,
"2025-12-18 01:46:00",0.36987,3.22348,5.0798,0.31482,,,
"2025-12-18 02:46:00",0.3485,3.1439,5.4596,0.33173,,,
"2025-12-18 03:46:00",0.36101,3.31434,5.30057,0.30998,,,
"2025-12-18 04:46:00",0.26224,2.33952,3.65082,0.32033,,,
"2025-12-18 05:46:00",0.35191,2.51142,4.28618,0.32804,,,
"2025-12-18 06:46:00",0.33522,1.60753,2.78186,0.31824,,,
"2025-12-18 07:46:00",0.3931,1.59028,3.10124,0.33865,,,
"2025-12-18 08:46:00",0.37471,2.76653,4.00546,0.35005,,,
"2025-12-18 09:46:00",0.2865,1.87998,3.35938,0.33515,,,
"2025-12-18 10:46:00",0.36159,2.39357,3.24845,0.35447,,,
"2025-12-18 11:46:00",0.36475,1.27987,2.61052,0.40237,,,
"2025-12-18 12:46:00",0.35494,1.72504,4.09846,0.38367,,,
"2025-12-18 13:46:00",0.3621,1.70828,3.22906,0.37095,,,
"2025-12-18 14:46:00",0.38833,1.90318,3.5442,0.38163,,,
"2025-12-18 15:46:00",0.3973,2.00108,3.54872,0.39533,,,
"2025-12-18 16:46:00",0.37905,2.19055,3.67146,0.39509,,,
"2025-12-18 17:46:00",0.35188,2.00258,3.18098,0.3798,,,
"2025-12-18 18:46:00",0.35705,2.02535,3.71214,0.39252,,,
"2025-12-18 19:46:00",0.38865,2.45815,3.73675,0.37488,,,
"2025-12-18 20:46:00",0.24903,1.94601,2.91806,0.38809,,,
"2025-12-18 21:46:00",0.37326,2.17952,4.29982,0.36013,,,
"2025-12-18 22:46:00",0.40576,1.47295,2.84364,0.3628,,,
"2025-12-18 23:46:00",0.39786,1.60261,3.0604,0.32156,,,
"2025-12-19 00:46:00",0.39711,2.03694,3.87913,0.30985,,,
"2025-12-19 01:46:00",0.39958,1.78923,3.21596,0.32131,,,
