"DateTime","5RV","7RV","11RH","10RH","1RV","2RH","3RV","9RV"
"2026-01-10 09:02:00",2.73997,4.17824,143.243744,5.93557,6.68645,10.39671,2.96393,3.46724
"2026-01-10 10:02:00",2.42713,3.98796,192.254852,5.83022,6.65569,10.28272,2.84885,3.24298
"2026-01-10 11:02:00",2.42739,3.68763,29.22461,5.97129,6.92408,10.18115,2.8491,3.51065
"2026-01-10 12:02:00",2.87688,4.20639,85.15092,6.92824,6.88715,11.12922,3.03831,4.11287
"2026-01-10 13:02:00",3.08107,4.51976,150.27623,6.54967,7.65396,10.67746,3.19306,3.87459
"2026-01-10 14:02:00",2.70079,4.04188,103.822311,5.70767,6.27199,9.86989,3.01928,3.31226
"2026-01-10 15:02:00",2.47603,4.02534,365.3343,6.14043,7.16323,10.36073,2.92726,3.49783
"2026-01-10 16:02:00",2.67481,4.09528,81.0076,6.66269,7.42858,10.82339,3.06792,3.9047
"2026-01-10 17:02:00",2.51403,4.02371,85.56325,6.1065,6.19168,10.74166,2.73606,3.37901
"2026-01-10 18:02:00",2.77008,4.28636,117.587318,6.0066,7.30261,11.25917,3.01763,3.61198
"2026-01-10 19:02:00",2.69301,4.11909,134.495377,5.99686,7.41025,10.92649,3.17041,3.24263
"2026-01-10 20:02:00",2.52349,4.03701,62.70348,5.47132,6.79689,10.61624,2.98001,2.94774
"2026-01-10 21:02:00",2.55632,3.96384,41.66982,5.98135,6.12712,10.31817,2.67891,3.32503
"2026-01-10 22:02:00",2.81146,4.15518,111.398827,6.43537,7.84887,10.4551,3.08924,3.81249
"2026-01-10 23:02:00",3.09286,4.34451,85.70571,6.78387,6.77834,11.02825,2.95807,4.05543
"2026-01-11 00:02:00",2.52925,3.93762,96.44195,6.06433,7.87069,10.50009,2.98132,3.38524
"2026-01-11 01:02:00",2.46887,3.9669,67.91441,5.51933,6.37565,10.58843,2.85077,3.04594
"2026-01-11 02:02:00",2.47651,3.8941,140.20253,6.20992,6.36315,11.06519,2.8291,3.53004
"2026-01-11 03:02:00",3.00084,4.23387,118.885818,6.64778,7.81896,10.44559,3.08244,4.06729
"2026-01-11 04:02:00",2.66395,4.0875,53.57975,6.40553,6.99624,10.82127,3.03,3.71768
"2026-01-11 05:02:00",2.77685,4.29106,61.04393,6.10283,7.69374,10.64281,3.17862,3.47639
"2026-01-11 06:02:00",2.50752,3.95276,13.99053,5.82952,7.73572,10.19276,3.17148,3.21798
"2026-01-11 07:02:00",2.45782,3.76731,84.32197,5.69722,6.20048,10.56919,2.72766,3.1685
"2026-01-11 08:02:00",2.59526,3.84356,50.81753,6.10652,7.21166,11.08342,2.9607,3.51128
"2026-01-11 09:02:00",3.05666,4.33422,106.450073,6.81706,7.32115,11.51334,3.11144,4.04576
"2026-01-11 10:02:00",3.12735,4.43557,95.05827,6.90124,7.139,11.18281,3.14659,4.08861
"2026-01-11 11:02:00",2.73938,4.27766,82.40843,5.71031,7.21512,10.69215,3.26732,3.15683
"2026-01-11 12:02:00",2.7587,4.10987,41.4924,5.63296,6.45344,10.37318,2.97731,3.14831
"2026-01-11 13:02:00",2.33673,3.63702,153.360214,5.81696,6.95135,10.45504,2.84699,3.19035
"2026-01-11 14:02:00",2.78465,3.97191,161.400665,6.39649,7.29101,10.05777,2.90402,3.94816
"2026-01-11 15:02:00",3.05107,4.21331,218.222092,6.50601,7.31267,10.56709,3.12787,3.95077
"2026-01-11 16:02:00",2.60461,4.2667,68.40328,6.09457,6.80349,10.40537,2.78408,3.47078
"2026-01-11 17:02:00",2.45913,3.91188,175.473328,5.65079,6.90405,10.50891,2.97411,3.12498
"2026-01-11 18:02:00",2.61567,4.00875,66.09771,5.97039,7.62695,10.49619,3.02542,3.34718
"2026-01-11 19:02:00",2.63237,4.03369,54.43258,5.90411,6.75865,10.02021,2.78608,3.4485
"2026-01-11 20:02:00",2.92473,4.40711,126.573257,6.30501,7.7923,10.85636,3.17162,3.72446
"2026-01-11 21:02:00",3.026,4.28417,63.37173,6.55276,6.73469,10.10315,2.96597,3.96248
"2026-01-11 22:02:00",2.42996,3.92982,110.223137,5.92713,6.20227,9.956,2.69574,3.23945
"2026-01-11 23:02:00",2.66066,4.08811,50.48447,5.94592,6.91549,10.3266,2.99659,3.43367
"2026-01-12 00:02:00",2.42497,3.71452,67.40347,5.47634,6.09319,9.89457,2.68381,3.14979
"2026-01-12 01:02:00",2.45501,3.79859,82.5546,5.50161,6.31411,9.81572,2.742,3.26696
"2026-01-12 02:02:00",2.62791,4.02205,102.213051,5.8989,6.08389,10.2476,2.61989,3.36886
"2026-01-12 03:02:00",2.63813,4.09595,45.00788,6.14913,7.18516,10.30479,2.81282,3.57848
"2026-01-12 04:02:00",2.65498,4.07648,73.91203,5.72907,6.10673,9.68695,3.05413,3.07714
"2026-01-12 05:02:00",2.56952,4.00397,63.46574,5.43415,7.14927,10.18985,3.15398,2.94536
"2026-01-12 06:02:00",2.68392,3.94481,31.35134,6.14057,6.53671,10.54128,2.90804,3.55918
"2026-01-12 07:02:00",3.06581,4.43238,146.507111,6.34227,7.3634,10.14918,3.00723,3.84076
"2026-01-12 08:02:00",3.03355,4.26983,127.809509,6.51995,8.01789,10.72689,3.13563,3.86893
"2026-01-12 09:02:00",2.61449,3.99641,45.45899,5.27328,7.53663,10.73007,3.22346,2.88737
"2026-01-12 10:02:00",2.40528,3.73667,56.04969,5.24939,7.06026,10.55792,2.99418,2.80385
"2026-01-12 11:02:00",0.62345,0.64722,84.96049,0.23727,0.72279,0.5341,0.59357,0.26647
"2026-01-12 12:02:00",1.18202,1.30129,253.561234,0.34585,0.87803,1.00797,1.23026,0.40083
"2026-01-12 13:02:00",0.94904,0.52672,79.09825,0.35215,0.93205,0.82688,1.07242,0.35907
"2026-01-12 14:02:00",0.90362,1.04366,67.07494,0.38866,0.90364,1.01042,0.99148,0.34049
"2026-01-12 15:02:00",8.66939,4.98244,61.10187,6.2322,7.50472,9.106,2.59954,3.45159
"2026-01-12 16:02:00",6.50099,4.4671,116.947693,4.81209,7.94998,8.701,3.39197,3.13368
"2026-01-12 17:02:00",7.44992,4.75828,63.42175,5.51388,7.58379,8.32369,3.46596,3.25681
"2026-01-12 18:02:00",7.94654,4.11481,26.8175,5.77752,6.62075,9.60665,2.7701,3.51665
"2026-01-12 19:02:00",7.7946,4.22304,79.74075,5.65348,6.29107,9.95063,2.66033,3.31474
"2026-01-12 20:02:00",8.54854,4.63296,81.06129,6.51281,6.30228,10.90972,2.95299,3.7477
"2026-01-12 21:02:00",7.44767,4.1136,73.52895,5.85053,6.05986,10.0009,2.8018,3.31317
"2026-01-12 22:02:00",7.43756,4.06333,87.78695,5.58933,6.81882,10.20251,3.04101,3.17206
"2026-01-12 23:02:00",8.26476,4.21502,157.817108,6.33529,7.07722,9.96677,3.19061,3.91588
"2026-01-13 00:02:00",8.11273,4.58401,134.4158,6.10553,6.81128,9.97941,3.5102,3.71907
"2026-01-13 01:02:00",7.58632,4.295,83.07653,5.54823,7.01883,9.92255,2.83666,3.29959
"2026-01-13 02:02:00",7.72018,4.16458,89.94527,5.93826,6.07738,10.52184,2.8205,3.33515
"2026-01-13 03:02:00",7.27558,4.25885,87.56184,5.36096,5.75444,9.80528,2.81718,3.19078
"2026-01-13 04:02:00",8.72894,4.01411,127.57666,6.36102,6.56024,10.28632,2.72533,3.88327
"2026-01-13 05:02:00",8.86821,4.44866,56.59589,6.54413,6.84956,10.42365,3.02308,4.01011
"2026-01-13 06:02:00",8.45953,4.30012,92.67641,6.42441,7.40281,10.68257,3.11608,3.80343
