DateTime,10RH-O,10RV-O,11RH-O,11RV-O,1RV-O,2RH-O,3RV-O,9RV-O
2026-05-05 11:19:00,0.00273,0.00235,0.00365,0.00954,0.00985,0.00818,0.00257,0.00283
2026-05-05 12:19:00,0.0027,0.00355,0.00589,0.00837,0.00801,0.00731,0.00229,0.00268
2026-05-05 13:19:00,0.11162,0.0974,0.05657,0.08355,0.44101,0.31491,0.76173,0.29946
2026-05-05 14:19:00,0.10507,0.08652,0.04085,0.08049,0.48183,0.41924,0.72665,0.29023
2026-05-05 15:19:00,0.09897,0.08757,0.04424,0.0687,0.44394,0.32768,0.74909,0.29833
2026-05-05 16:19:00,0.10509,0.10317,0.04767,0.07267,0.44812,0.31138,0.76955,0.30153
2026-05-05 17:19:00,0.10563,0.10278,0.05937,0.07583,0.43361,0.28214,0.75616,0.32744
2026-05-05 18:19:00,0.10216,0.1111,0.05555,0.06963,0.42689,0.27381,0.77272,0.32192
2026-05-05 19:19:00,0.10817,0.10688,0.05347,0.07129,0.44846,0.30095,0.77386,0.30054
2026-05-05 20:19:00,0.09762,0.0919,0.04447,0.06679,0.44362,0.29869,0.76136,0.29903
2026-05-05 21:19:00,0.107,0.09543,0.04643,0.07242,0.4571,0.31141,0.76253,0.30781
2026-05-05 22:19:00,0.10447,0.09317,0.05115,0.07081,0.45842,0.33279,0.78085,0.31572
2026-05-05 23:19:00,0.10427,0.09966,0.04832,0.06868,0.43982,0.27623,0.78365,0.31499
2026-05-06 00:19:00,0.09792,0.0943,0.05103,0.0682,0.42629,0.27127,0.77395,0.32222
2026-05-06 01:19:00,0.10193,0.08855,0.04621,0.07116,0.45896,0.36618,0.75331,0.29832
2026-05-06 02:19:00,0.08935,0.08107,0.04256,0.06299,0.42094,0.26313,0.76018,0.30594
2026-05-06 03:19:00,0.09766,0.09758,0.04693,0.06537,0.4294,0.29297,0.77969,0.30191
2026-05-06 04:19:00,0.10537,0.09081,0.054,0.07686,0.46163,0.35265,0.76413,0.31875
2026-05-06 05:19:00,0.10948,0.1035,0.05218,0.073,0.45427,0.331,0.76433,0.31184
2026-05-06 06:19:00,0.10676,0.10767,0.05724,0.07712,0.43583,0.27541,0.76876,0.31824
2026-05-06 07:19:00,0.09934,0.10028,0.05461,0.06719,0.42567,0.27103,0.76793,0.32854
2026-05-06 08:19:00,0.11076,0.08881,0.04767,0.07844,0.46452,0.33798,0.76709,0.31742
2026-05-06 09:19:00,0.10608,0.08908,0.04764,0.07256,0.47257,0.4168,0.70846,0.28306
2026-05-06 10:19:00,0.10993,0.10097,0.04981,0.07667,0.4607,0.34763,0.76297,0.30049
2026-05-06 11:19:00,0.11027,0.09619,0.04954,0.07568,0.46233,0.34156,0.76503,0.31529
2026-05-06 12:19:00,0.10138,0.10488,0.06595,0.07391,0.42848,0.27167,0.75284,0.32618
2026-05-06 13:19:00,0.09562,0.09822,0.05885,0.06921,0.42391,0.26798,0.77457,0.32615
2026-05-06 14:19:00,0.10819,0.09709,0.05155,0.07058,0.46937,0.36642,0.77164,0.31908
2026-05-06 15:19:00,0.10355,0.08175,0.04278,0.07144,0.44089,0.33162,0.74559,0.30628
2026-05-06 16:19:00,0.11243,0.0975,0.05252,0.07904,0.46565,0.37122,0.76206,0.29606
2026-05-06 17:19:00,0.10946,0.11429,0.06205,0.07493,0.43755,0.28968,0.76052,0.31529
2026-05-06 18:19:00,0.11119,0.11175,0.05842,0.0753,0.43297,0.28797,0.76821,0.30441
2026-05-06 19:19:00,0.10991,0.105,0.05599,0.07866,0.4663,0.33578,0.7746,0.31817
2026-05-06 20:19:00,0.10298,0.08187,0.04168,0.07606,0.44721,0.34944,0.73127,0.29373
2026-05-06 21:19:00,0.11262,0.10057,0.05624,0.07886,0.43865,0.32043,0.76654,0.29815
2026-05-06 22:19:00,0.10683,0.10513,0.05883,0.07283,0.42786,0.28147,0.773,0.32131
2026-05-06 23:19:00,0.09807,0.11041,0.04803,0.06375,0.41177,0.26163,0.77824,0.30316
2026-05-07 00:19:00,0.10556,0.10415,0.05369,0.07154,0.42281,0.2742,0.7839,0.30278
2026-05-07 01:19:00,0.10155,0.08674,0.04087,0.06922,0.4683,0.38628,0.74758,0.30545
2026-05-07 02:19:00,0.09404,0.10274,0.05203,0.06641,0.41664,0.2791,0.77873,0.32359
2026-05-07 03:19:00,0.09619,0.09705,0.04832,0.06245,0.4243,0.27689,0.77314,0.32247
2026-05-07 04:19:00,0.10371,0.10584,0.04053,0.07045,0.42788,0.29336,0.78692,0.30073
2026-05-07 05:19:00,0.10506,0.08716,0.04043,0.07278,0.47093,0.42226,0.71872,0.28054
2026-05-07 06:19:00,0.10451,0.09135,0.04326,0.07362,0.45901,0.35525,0.75022,0.29041
2026-05-07 07:19:00,0.11058,0.10617,0.04859,0.07639,0.45947,0.34598,0.78596,0.30626
2026-05-07 08:19:00,0.10141,0.1211,0.05463,0.06772,0.42082,0.26919,0.78566,0.31116
2026-05-07 09:19:00,0.09865,0.09672,0.05327,0.06677,0.4248,0.27489,0.78259,0.32266
2026-05-07 10:19:00,0.10702,0.09941,0.04929,0.07608,0.46071,0.3466,0.78011,0.31956
2026-05-07 11:19:00,0.10592,0.10366,0.04814,0.07512,0.45357,0.31839,0.78831,0.30849
2026-05-07 12:19:00,0.09837,0.11048,0.0496,0.06552,0.43454,0.26523,0.78838,0.31748
2026-05-07 13:19:00,0.10447,0.10115,0.04892,0.07537,0.46426,0.34143,0.78462,0.31305
2026-05-07 14:19:00,0.09802,0.08407,0.0455,0.06759,0.45043,0.35241,0.76201,0.29423
2026-05-07 15:19:00,0.10972,0.08774,0.04755,0.07962,0.48635,0.44808,0.73625,0.29642
2026-05-07 16:19:00,0.0963,0.10115,0.04976,0.07092,0.42734,0.2769,0.79163,0.32125
2026-05-07 17:19:00,0.09818,0.1134,0.05157,0.06538,0.41976,0.26902,0.77279,0.31145
2026-05-07 18:19:00,0.09603,0.10808,0.05211,0.06486,0.43026,0.27702,0.76831,0.30915
2026-05-07 19:19:00,0.10872,0.1036,0.05307,0.07832,0.46224,0.32572,0.7784,0.31089
2026-05-07 20:19:00,0.1084,0.09295,0.04674,0.07667,0.47206,0.37312,0.76316,0.28585
2026-05-07 21:19:00,0.09546,0.07678,0.04525,0.06846,0.45117,0.36201,0.73266,0.29225
2026-05-07 22:19:00,0.10616,0.08879,0.0485,0.07482,,,0.77863,0.30487
2026-05-07 23:19:00,0.10856,0.11526,0.06513,0.07216,,,0.73959,0.29719
2026-05-08 00:19:00,0.09416,0.10284,0.04906,0.06548,,,0.78069,0.30359
2026-05-08 01:19:00,0.09392,0.09429,0.04905,0.06655,,,0.77042,0.30738
2026-05-08 02:19:00,0.08804,0.07943,0.04157,0.06488,,,0.76153,0.28098
2026-05-08 03:19:00,0.09663,0.09563,0.04938,0.06708,,,0.76928,0.30128
2026-05-08 04:19:00,0.10873,0.10533,0.05604,0.07526,,,0.75124,0.30364
2026-05-08 05:19:00,0.10663,0.11257,0.05749,0.07126,,,0.74266,0.29837
2026-05-08 06:19:00,0.11054,0.09858,0.04694,0.07125,,,0.76715,0.29121
2026-05-08 07:19:00,0.10224,0.08568,0.0442,0.07073,,,0.74795,0.27981
2026-05-08 08:19:00,0.08879,0.08661,0.0462,0.06322,,,0.76535,0.30192
2026-05-08 09:19:00,0.09665,0.10083,0.05484,0.0708,,,0.76328,0.31937
2026-05-08 10:19:00,0.09669,0.10117,0.05093,0.06704,,,0.77458,0.31061
2026-05-08 11:19:00,0.10209,0.0917,0.05276,0.07008,,,0.77561,0.31422
2026-05-08 12:19:00,0.10543,0.08797,0.04869,0.07781,,,0.76977,0.30278
2026-05-08 13:19:00,0.10087,0.09164,0.04662,0.0691,,,0.75065,0.28355
2026-05-08 14:19:00,0.10313,0.09301,0.0447,0.06697,,,0.77229,0.30201
2026-05-08 15:19:00,0.10124,0.10512,0.05692,0.06778,,,0.75403,0.31826
2026-05-08 16:19:00,0.09503,0.10542,0.05547,0.06636,,,0.75362,0.31061
2026-05-08 17:19:00,0.09907,0.10027,0.04752,0.06672,,,0.77457,0.30719
2026-05-08 18:19:00,0.09125,0.08555,0.04126,0.06677,,,0.76973,0.30691
2026-05-08 19:19:00,0.09766,0.10567,0.06533,0.0728,,,0.75063,0.31877
2026-05-08 20:19:00,0.10735,0.097,0.04956,0.07877,,,0.7675,0.30687
2026-05-08 21:19:00,0.09919,0.0893,0.04544,0.06908,,,0.74591,0.27673
2026-05-08 22:19:00,0.10666,0.08284,0.04388,0.07121,,,0.73652,0.30252
2026-05-08 23:19:00,0.09462,0.10996,0.05272,0.06944,,,0.74789,0.30873
2026-05-09 00:19:00,0.10855,0.09841,0.04915,0.07196,,,0.76687,0.30722
2026-05-09 01:19:00,0.10716,0.08778,0.04516,0.07125,,,0.75234,0.28637
2026-05-09 02:19:00,0.0935,0.10091,0.04836,0.06629,,,0.76989,0.2952
2026-05-09 03:19:00,0.09758,0.09679,0.04478,0.06232,,,0.76149,0.3005
2026-05-09 04:19:00,0.10521,0.10264,0.05093,0.07041,,,0.75379,0.3032
2026-05-09 05:19:00,0.10307,0.09247,0.051,0.0757,,,0.75379,0.28777
2026-05-09 06:19:00,0.10618,0.07926,0.04339,0.06937,,,0.70883,0.27613
2026-05-09 07:19:00,0.09966,0.09792,0.04417,0.06908,,,0.74911,0.30367
2026-05-09 08:19:00,0.10236,0.10118,0.04853,0.06851,,,0.74066,0.30103
2026-05-09 09:19:00,0.09949,0.09204,0.0474,0.06947,,,0.76872,0.28986
2026-05-09 10:19:00,0.10388,0.08241,0.04582,0.07067,,,0.76004,0.30712
2026-05-09 11:19:00,0.10224,0.11299,0.0565,0.07371,,,0.75695,0.29959
2026-05-09 12:19:00,0.11206,0.09282,0.05144,0.07762,,,0.76352,0.30348
2026-05-09 13:19:00,0.10172,0.09796,0.04948,0.07168,,,0.78207,0.30348
2026-05-09 14:19:00,0.11832,0.10619,0.05261,0.07837,,,0.76586,0.30195
