"DateTime","10RV","8RV","9RV","1RV","2RH","3RV","4RV","7RV"
"2026-04-15 02:56:00",1.50345,1.15211,3.6242,1.93942,1.50746,1.23617,0.96649,0.82109
"2026-04-15 03:56:00",1.52784,1.13546,3.75003,2.32644,1.53964,1.23406,0.98345,0.79439
"2026-04-15 04:56:00",1.30706,1.12999,4.78414,2.61577,1.86089,1.20788,0.9672,0.74613
"2026-04-15 05:56:00",1.14714,1.22173,3.34344,2.60525,1.6868,1.34941,1.078,0.87705
"2026-04-15 06:56:00",1.63005,1.15267,2.99275,2.29025,1.47816,1.18938,0.95973,0.74898
"2026-04-15 07:56:00",1.17376,1.18665,4.01739,2.48911,1.56007,1.3264,1.04585,0.89468
"2026-04-15 08:56:00",1.59838,1.04859,4.43769,2.3738,1.34425,1.15065,0.89024,0.73455
"2026-04-15 09:56:00",1.23665,1.2693,3.51366,2.46032,1.47411,1.38973,1.11708,0.96655
"2026-04-15 10:56:00",1.59483,1.08476,3.83208,2.47602,1.50569,1.1621,0.9305,0.7269
"2026-04-15 11:56:00",1.36369,1.09803,3.84637,3.25106,2.04209,1.14983,0.93235,0.71607
"2026-04-15 12:56:00",1.24199,1.18412,4.27692,3.27165,1.51016,1.287,1.05122,0.86224
"2026-04-15 13:56:00",1.6034,1.084,3.7309,2.29665,1.43671,1.1672,0.93264,0.75064
"2026-04-15 14:56:00",1.22734,1.22559,3.50978,2.59365,1.58318,1.30366,1.07503,0.88947
"2026-04-15 15:56:00",1.61585,1.06668,4.3825,2.37867,1.45927,1.12004,0.90544,0.71636
"2026-04-15 16:56:00",1.18047,1.21647,3.65375,2.79917,1.56743,1.30255,1.07257,0.86589
"2026-04-15 17:56:00",1.67489,1.09389,4.07236,2.33447,1.55224,1.12317,0.91488,0.71844
"2026-04-15 18:56:00",1.38427,1.18029,2.80733,3.83274,1.69722,1.22758,0.99355,0.80143
"2026-04-15 19:56:00",1.37039,1.11339,5.23072,2.42829,1.74797,1.21179,0.9726,0.80395
"2026-04-15 20:56:00",1.47656,1.13068,4.17878,2.60553,1.5187,1.18197,0.96058,0.76156
"2026-04-15 21:56:00",1.14594,1.2265,4.09116,2.69382,1.60689,1.33712,1.09205,0.86822
"2026-04-15 22:56:00",1.60061,1.1023,2.98459,2.39781,1.38,1.16177,0.94279,0.74122
