DateTime,10RH-V,11RH-V,1RV-V,2RH-V,3RV-V,5RV-V,7RV-V,9RV-V
2026-05-17 22:02:00,4.51677,742.2766,13.47428,9.07997,2.90262,2.77671,4.03523,2.96024
2026-05-17 23:02:00,5.20753,148.678879,14.0091,9.52895,2.95317,2.85186,4.23449,3.27197
2026-05-18 00:02:00,5.39286,813.130737,14.71385,9.90423,3.21344,2.85956,4.29942,3.36066
2026-05-18 01:02:00,5.28407,789.038,14.33302,9.02438,3.38861,2.80487,4.47141,3.30571
2026-05-18 02:02:00,3.5419,1458.3999,10.16065,7.46737,2.33655,2.74871,4.08174,2.90154
2026-05-18 03:02:00,0.19244,752.647766,0.41572,0.3033,0.21079,0.22133,0.23629,0.1904
2026-05-18 04:02:00,0.21274,1507.54041,0.42866,0.31451,0.22632,0.2541,0.27773,0.2207
2026-05-18 05:02:00,0.1552,1017.42737,0.37903,0.26647,0.19994,0.23218,0.26514,0.1768
2026-05-18 06:02:00,0.15498,1779.059,0.36343,0.29723,0.18103,0.18945,0.20708,0.14539
2026-05-18 07:02:00,0.14964,364.020752,0.38036,0.28836,0.18594,0.19246,0.19992,0.14804
2026-05-18 08:02:00,0.15486,85.74256,0.39051,0.33265,0.18471,0.20637,0.23536,0.15115
2026-05-18 09:02:00,0.19345,74.3679,0.49991,0.54162,0.28102,0.33724,0.39405,0.23296
2026-05-18 10:02:00,0.18,857.3148,0.48523,0.38955,0.22479,0.25557,0.29157,0.18504
2026-05-18 11:02:00,0.14469,314.014343,0.41297,0.33262,0.19615,0.21625,0.24551,0.15824
2026-05-18 12:02:00,0.19505,1324.16333,0.3666,0.3858,0.2069,0.23206,0.26375,0.19413
2026-05-18 13:02:00,0.19389,1452.21118,0.41023,0.29592,0.20468,0.22927,0.26437,0.19086
2026-05-18 14:02:00,0.18558,402.212067,0.3968,0.35703,0.22236,0.25541,0.29804,0.19061
2026-05-18 15:02:00,0.15713,886.045349,0.34328,0.33861,0.19094,0.22227,0.26148,0.16372
2026-05-18 16:02:00,0.15978,138.289978,0.47261,0.33764,0.1973,0.20487,0.23507,0.15104
2026-05-18 17:02:00,0.16273,892.3261,0.34453,0.30845,0.1619,0.18129,0.21468,0.15114
2026-05-18 18:02:00,0.21331,76.44876,0.35819,0.3635,0.21018,0.2311,0.25543,0.1936
2026-05-18 19:02:00,0.16795,946.023132,0.40628,0.35879,0.2063,0.22734,0.26364,0.17609
2026-05-18 20:02:00,0.16686,105.894577,0.29153,0.31768,0.1917,0.21865,0.2437,0.17911
2026-05-18 21:02:00,0.17928,468.130951,0.44693,0.3578,0.2032,0.21971,0.24636,0.18426
2026-05-18 22:02:00,0.14844,983.821533,0.44141,0.30923,0.20097,0.24366,0.2984,0.18257
2026-05-18 23:02:00,0.17942,1186.15332,0.38922,0.31316,0.18873,0.22311,0.26938,0.18289
2026-05-19 00:02:00,0.20927,150.011612,0.39339,0.3376,0.2103,0.2358,0.27157,0.20385
2026-05-19 01:02:00,0.21364,97.69776,0.3854,0.36678,0.18887,0.22805,0.27622,0.19007
2026-05-19 02:02:00,0.17532,153.576828,0.41775,0.32267,0.18498,0.22272,0.27363,0.18445
2026-05-19 03:02:00,0.24629,828.990051,0.40436,0.3534,0.1982,0.22818,0.2696,0.21943
2026-05-19 04:02:00,2.86147,751.040466,6.12782,7.15836,2.52364,2.41021,3.44485,2.34411
2026-05-19 05:02:00,2.84369,613.7385,7.36619,8.13528,3.05354,2.4704,3.89609,2.65861
2026-05-19 06:02:00,3.08695,453.6695,6.69689,7.49194,2.76538,2.93428,4.28767,2.72768
2026-05-19 07:02:00,3.92392,524.726257,5.98286,7.98444,2.92274,2.82059,3.7933,3.09224
2026-05-19 08:02:00,5.22516,1011.59442,5.51002,9.4296,2.65396,2.83625,3.9459,3.1647
2026-05-19 09:02:00,5.98352,365.922455,5.52579,10.55566,3.08231,3.10975,4.43783,3.45795
2026-05-19 10:02:00,0.37643,658.1987,2.05481,1.56122,0.95562,0.91217,0.92562,0.55524
2026-05-19 11:02:00,0.28455,678.986938,1.05408,0.88439,0.62507,0.57528,0.54376,0.38677
2026-05-19 12:02:00,0.25718,467.010773,1.09646,0.86641,0.61886,0.56771,0.53608,0.3801
2026-05-19 13:02:00,0.31282,66.763,1.42634,1.13275,0.741,0.68041,0.65748,0.45195
2026-05-19 14:02:00,5.40619,539.8952,12.03859,8.67281,2.74512,3.27337,4.70137,3.08774
2026-05-19 15:02:00,4.00953,223.054688,11.77581,8.78272,2.58101,2.41767,3.57023,2.87192
2026-05-19 16:02:00,3.84347,236.1027,14.28267,9.57464,3.27634,2.24661,3.45939,2.75907
2026-05-19 17:02:00,5.82041,35.03573,13.98512,9.92636,3.207,3.49562,5.07267,2.9389
2026-05-19 18:02:00,5.25969,69.34315,12.9312,9.36722,2.9055,3.25502,4.20346,2.89233
2026-05-19 19:02:00,5.58353,135.786163,13.68505,9.30148,2.69762,3.10065,4.57022,2.98512
2026-05-19 20:02:00,5.83909,95.88087,13.83741,9.39126,2.6095,3.07658,4.6724,3.15639
2026-05-19 21:02:00,4.34963,91.95302,13.02339,8.64674,2.5937,2.51636,3.72451,2.84874
2026-05-19 22:02:00,2.93338,287.588043,12.49971,7.9775,2.97659,2.53135,3.87942,2.69048
2026-05-19 23:02:00,3.2551,183.707855,11.47963,8.04486,2.72969,2.05145,2.90244,2.57955
2026-05-20 00:02:00,3.9436,72.97475,12.96413,9.17199,2.91547,2.83882,4.23979,2.91877
2026-05-20 01:02:00,3.77158,40.00023,15.73315,10.20222,3.66715,2.32951,3.59897,3.03172
2026-05-20 02:02:00,5.1692,152.21524,11.8405,8.61381,2.28216,2.60032,3.68982,3.2976
2026-05-20 03:02:00,4.79055,38.79729,12.44469,8.71603,2.35365,2.63089,3.8358,2.96236
2026-05-20 04:02:00,4.57793,36.2395,12.34419,8.34822,2.56276,2.58674,3.68626,2.95673
2026-05-20 05:02:00,5.11309,36.55407,14.25902,9.32763,3.18407,3.08441,4.43686,3.07004
2026-05-20 06:02:00,5.31571,55.48627,14.36613,9.67088,3.27902,3.51666,4.87304,3.00365
2026-05-20 07:02:00,4.36189,36.34259,11.84917,8.37246,2.46544,2.89028,4.08461,2.78422
2026-05-20 08:02:00,4.23634,374.121552,13.56022,8.54432,3.10176,3.0665,4.28477,2.85711
2026-05-20 09:02:00,4.59411,151.238968,12.26341,8.46171,2.67772,2.54019,3.78718,2.95822
2026-05-20 10:02:00,4.56074,202.526367,12.46847,8.64777,2.76359,2.56508,3.63379,2.93756
2026-05-20 11:02:00,4.5652,161.787582,13.14467,8.85124,2.92311,2.99362,4.1948,2.91659
2026-05-20 12:02:00,4.55743,36.01963,12.94197,8.65832,3.03614,3.11039,4.37518,2.85752
2026-05-20 13:02:00,4.73405,141.413422,14.24422,9.26466,3.10982,2.68982,4.08443,3.10645
2026-05-20 14:02:00,4.12786,162.849243,13.41665,8.59226,3.20829,2.59903,3.68496,2.86767
2026-05-20 15:02:00,5.37021,89.13044,13.21137,9.44026,2.79355,2.89194,4.04877,3.23145
2026-05-20 16:02:00,4.78985,71.02793,13.91936,8.8594,3.09887,2.82833,4.27777,3.18171
2026-05-20 17:02:00,4.26877,104.510262,12.24844,8.65849,2.6267,2.60507,3.74433,2.92724
2026-05-20 18:02:00,4.71169,43.73888,12.96593,9.21383,2.47516,2.59932,3.70903,3.01632
2026-05-20 19:02:00,4.5022,137.6133,14.34858,9.1848,3.47371,2.75057,3.99277,2.99711
2026-05-20 20:02:00,5.0435,59.16389,13.55009,9.21964,2.97089,2.96785,4.17161,3.19484
2026-05-20 21:02:00,5.27179,126.589546,13.90225,9.33535,2.96875,3.10566,4.61797,3.163
2026-05-20 22:02:00,4.60376,81.88077,12.11125,8.6199,2.48005,2.65676,3.75369,3.06087
2026-05-20 23:02:00,4.56804,60.67264,13.56535,9.26448,2.97561,2.72439,3.84464,3.12782
2026-05-21 00:02:00,4.34806,140.904678,12.73577,8.43303,2.8433,2.66069,3.86012,2.99172
2026-05-21 01:02:00,5.57251,60.94616,13.92922,10.06448,2.80123,3.01872,4.27503,3.32607
2026-05-21 02:02:00,4.3562,80.89433,14.07154,9.12873,3.12743,2.9076,4.14946,3.00735
2026-05-21 03:02:00,4.02364,56.34159,12.20298,8.23588,2.74911,2.86822,4.05443,2.86544
