DateTime,1RV-O-T,2AX-O-T,2RV-O-T,3RV-O-T,6RV-O-T,7RV-O-T,8RV-O-T
2026-05-06 01:42:00,0.31395,0.36392,0.35666,0.97647,1.30016,1.25868,1.24159
2026-05-06 02:42:00,0.30842,0.36523,0.35073,0.97405,1.29187,1.14253,1.14675
2026-05-06 03:42:00,0.31135,0.35671,0.34802,0.98317,1.32499,1.17794,1.19193
2026-05-06 04:42:00,0.3204,0.39108,0.38045,0.98884,1.31772,1.30267,1.30658
2026-05-06 05:42:00,0.31127,0.35566,0.36612,0.98409,1.33987,1.22212,1.21325
2026-05-06 06:42:00,0.30704,0.36356,0.35622,0.97079,1.32615,1.27531,1.26402
2026-05-06 07:42:00,0.30646,0.37546,0.3625,0.97414,1.32709,1.263,1.25453
2026-05-06 08:42:00,0.30076,0.36059,0.34774,0.98648,1.33596,1.21418,1.20289
2026-05-06 09:42:00,0.28996,0.3742,0.35648,0.99401,1.35035,1.06302,1.04251
2026-05-06 10:42:00,0.30376,0.36935,0.34933,0.99351,1.34985,1.09213,1.13432
2026-05-06 11:42:00,0.29366,0.39231,0.36163,0.99367,1.30853,0.1331,1.15919
2026-05-06 12:42:00,0.29949,0.37564,0.34463,1.00484,1.34332,0.15562,1.21608
2026-05-06 13:42:00,0.29575,0.4021,0.34959,1.01102,1.38623,0.1071,1.154
2026-05-06 14:42:00,0.28331,0.3887,0.34761,1.02692,1.3808,0.11035,1.08585
2026-05-06 15:42:00,0.28958,0.39532,0.35031,1.01867,1.35993,0.1082,1.28142
2026-05-06 16:42:00,0.29495,0.38834,0.35091,1.01187,1.36582,0.11096,1.16456
2026-05-06 17:42:00,0.29681,0.41055,0.36092,1.01341,1.40218,0.12381,1.18721
2026-05-06 18:42:00,0.29445,0.38307,0.35234,1.00527,1.34014,0.1296,1.1955
2026-05-06 19:42:00,0.29544,0.40016,0.36782,1.01265,1.32166,0.12297,1.10541
2026-05-06 20:42:00,0.2899,0.39327,0.36753,1.00229,1.34377,0.13559,1.213
2026-05-06 21:42:00,0.28788,0.41111,0.36439,0.99205,1.31969,0.12127,1.11674
2026-05-06 22:42:00,0.29657,0.40379,0.37792,1.00147,1.3477,0.12392,1.25973
2026-05-06 23:42:00,0.30448,0.43236,0.38366,1.00594,1.35026,0.11813,1.25158
2026-05-07 00:42:00,0.30278,0.38709,0.38011,1.00518,1.3521,0.1164,1.20318
2026-05-07 01:42:00,0.30789,0.40708,0.38219,0.98995,1.33146,0.12953,1.24166
2026-05-07 02:42:00,0.30274,0.42641,0.39973,0.99445,1.32297,0.12977,1.26722
2026-05-07 03:42:00,0.30125,0.43925,0.39079,1.00897,1.34972,0.12151,1.20413
2026-05-07 04:42:00,0.30904,0.45498,0.40528,0.99661,1.34962,0.12196,1.11369
2026-05-07 05:42:00,0.32334,0.44593,0.41406,0.98185,1.32277,0.12191,1.22776
2026-05-07 06:42:00,0.32105,0.42504,0.40232,0.98784,1.34336,0.1284,1.21054
2026-05-07 07:42:00,0.30784,0.43597,0.40112,0.99899,1.31716,0.11886,1.22271
2026-05-07 08:42:00,0.30526,0.42924,0.40492,0.97986,1.38342,0.12894,1.15765
