"DateTime","9RV","10RV","1RV","2RH","3RV","4RV","7RV","8RV"
"2025-11-11 10:54:00",1.53917,1.32847,1.08214,1.39725,1.01602,1.25569,0.72628,0.72628
"2025-11-11 11:46:28",1.53609,1.32967,1.07209,1.34322,1.00938,1.25475,0.72365,0.72365
"2025-11-11 12:54:00",0.20764,0.22791,0.21249,0.24175,0.18534,0.20531,0.17125,0.17125
"2025-11-11 13:54:00",1.55781,1.35066,1.01481,1.12061,1.02049,1.27056,0.68317,0.68317
"2025-11-11 14:54:00",1.57308,1.37148,1.03636,1.19789,1.04867,1.28925,0.74766,0.74766
"2025-11-11 15:54:00",1.57306,1.37839,1.03564,1.16174,1.05473,1.30127,0.74823,0.74823
"2025-11-11 16:54:00",1.6314,1.43095,1.05028,1.11994,1.09159,1.34749,0.78516,0.78516
"2025-11-11 17:54:00",1.61826,1.41953,1.03603,1.16472,1.0891,1.34884,0.77974,0.77974
"2025-11-11 18:54:00",1.61037,1.42826,1.06405,1.1803,1.12251,1.35964,0.79822,0.79822
"2025-11-11 19:54:00",1.63719,1.44434,1.0624,1.16803,1.12783,1.37407,0.79831,0.79831
"2025-11-11 20:54:00",1.64363,1.44216,1.10096,1.23026,1.11095,1.36541,0.7892,0.7892
"2025-11-11 21:54:00",0.22506,0.22004,0.28748,0.34868,0.21274,0.22053,0.23667,0.23667
"2025-11-11 22:54:00",1.68029,1.49244,1.10905,1.15222,1.16587,1.41078,0.80749,0.80749
"2025-11-11 23:54:00",1.62989,1.44177,1.07831,1.11552,1.13343,1.36666,0.78921,0.78921
"2025-11-12 00:54:00",1.64934,1.46161,1.07203,1.15607,1.13927,1.39063,0.79952,0.79952
"2025-11-12 01:54:00",1.71666,1.51824,1.1061,1.12077,1.17321,1.43189,0.82213,0.82213
"2025-11-12 02:54:00",1.65887,1.4632,1.09692,1.15591,1.12888,1.37356,0.80095,0.80095
"2025-11-12 03:54:00",1.70263,1.50835,1.11852,1.11484,1.18605,1.43055,0.83389,0.83389
"2025-11-12 04:54:00",1.73696,1.54124,1.12315,1.12159,1.1973,1.45325,0.82382,0.82382
"2025-11-12 05:54:00",1.76943,1.57843,1.15661,1.17235,1.23574,1.48638,0.86185,0.86185
"2025-11-12 06:54:00",1.75757,1.55813,1.12854,1.1518,1.20666,1.46575,0.8323,0.8323
"2025-11-12 07:54:00",1.6781,1.48549,1.11525,1.14245,1.15878,1.40233,0.81346,0.81346
"2025-11-12 08:54:00",1.64042,1.44945,1.0834,1.14477,1.13462,1.37427,0.80781,0.80781
"2025-11-12 09:54:00",1.68849,1.48804,1.11267,1.16521,1.15177,1.40081,0.80475,0.80475
"2025-11-12 10:54:00",1.66209,1.46748,1.10123,1.16741,1.14083,1.3904,0.80533,0.80533
"2025-11-12 11:54:00",1.76898,1.56806,1.12352,1.16691,1.18452,1.47088,0.8226,0.8226
"2025-11-12 12:54:00",1.74668,1.54159,1.13258,1.15226,1.18423,1.45484,0.84407,0.84407
"2025-11-12 13:54:00",1.66351,1.46523,1.11971,1.142,1.16583,1.40899,0.82874,0.82874
"2025-11-12 14:54:00",1.68948,1.48563,1.10455,1.13934,1.16394,1.42385,0.81786,0.81786
"2025-11-12 15:54:00",1.64832,1.4366,1.09657,1.1464,1.11918,1.37229,0.78571,0.78571
"2025-11-12 16:54:00",1.70109,1.47991,1.13322,1.16339,1.15527,1.4155,0.8187,0.8187
"2025-11-12 17:54:00",1.68033,1.47366,1.11641,1.14918,1.14156,1.40442,0.79455,0.79455
"2025-11-12 18:54:00",1.76084,1.54699,1.15443,1.15338,1.21923,1.48075,0.85847,0.85847
"2025-11-12 19:54:00",1.78005,1.56184,1.16657,1.17346,1.22633,1.49865,0.86958,0.86958
"2025-11-12 20:54:00",1.69419,1.5026,1.14179,1.16581,1.19641,1.43904,0.84829,0.84829
"2025-11-12 21:54:00",1.67063,1.45155,1.10872,1.13658,1.11684,1.38037,0.79635,0.79635
"2025-11-12 22:54:00",1.68263,1.48941,1.11285,1.13117,1.17258,1.42169,0.84343,0.84343
"2025-11-12 23:54:00",1.58993,1.3975,1.05944,1.16486,1.07628,1.32532,0.76917,0.76917
"2025-11-13 00:54:00",1.57004,1.38524,1.06583,1.18819,1.04861,1.3087,0.74927,0.74927
"2025-11-13 01:54:00",1.65144,1.4643,1.10125,1.17299,1.12815,1.38727,0.8012,0.8012
"2025-11-13 02:54:00",1.73591,1.54092,1.12877,1.19337,1.16933,1.4421,0.80913,0.80913
"2025-11-13 03:54:00",1.68043,1.4809,1.12394,1.1777,1.13552,1.39154,0.78702,0.78702
"2025-11-13 04:54:00",1.64622,1.44834,1.10861,1.20509,1.10428,1.36474,0.78345,0.78345
"2025-11-13 05:54:00",1.62182,1.41456,1.06074,1.12758,1.08325,1.34652,0.7476,0.7476
"2025-11-13 06:54:00",1.6276,1.42521,1.11324,1.21815,1.09126,1.34553,0.77045,0.77045
"2025-11-13 07:54:00",1.64635,1.44899,1.10604,1.19046,1.10728,1.36736,0.77375,0.77375
"2025-11-13 08:54:00",1.63746,1.4422,1.10982,1.20812,1.12176,1.37709,0.78744,0.78744
"2025-11-13 09:54:00",1.60135,1.40712,1.10193,1.21292,1.08619,1.33329,0.78424,0.78424
"2025-11-13 10:54:00",1.6558,1.4475,1.1284,1.2036,1.1268,1.37924,0.80213,0.80213
"2025-11-13 11:54:00",1.71797,1.51563,1.13175,1.19684,1.16952,1.42738,0.83921,0.83921
"2025-11-13 12:54:00",1.72092,1.51559,1.15219,1.19908,1.16494,1.42729,0.82787,0.82787
"2025-11-13 13:54:00",0.13703,0.13977,0.15941,0.19247,0.13133,0.13309,0.1411,0.1411
"2025-11-13 14:54:00",0.22226,0.21803,0.29424,0.36755,0.21426,0.22151,0.26211,0.26211
"2025-11-13 15:54:00",1.66003,1.47025,1.08258,1.22234,1.12868,1.37348,0.79641,0.79641
"2025-11-13 16:54:00",1.65295,1.46301,1.12762,1.26689,1.13125,1.37476,0.79048,0.79048
"2025-11-13 17:54:00",1.75621,1.5611,1.15104,1.27321,1.21081,1.46944,0.8334,0.8334
"2025-11-13 18:54:00",1.7049,1.5124,1.12774,1.23382,1.18845,1.43753,0.83435,0.83435
"2025-11-13 19:54:00",1.74833,1.55022,1.15148,1.30701,1.19805,1.46282,0.82225,0.82225
"2025-11-13 20:54:00",1.73213,1.52965,1.14398,1.28712,1.18028,1.44109,0.8427,0.8427
"2025-11-13 21:54:00",1.70959,1.51775,1.13208,1.26581,1.18761,1.44037,0.8341,0.8341
"2025-11-13 22:54:00",1.7035,1.49995,1.13922,1.26238,1.18468,1.43534,0.81567,0.81567
"2025-11-13 23:54:00",1.71469,1.53103,1.16377,1.26937,1.21001,1.45293,0.8491,0.8491
"2025-11-14 00:54:00",1.7829,1.57936,1.17932,1.29046,1.23859,1.48925,0.84942,0.84942
"2025-11-14 01:54:00",1.74222,1.55181,1.15269,1.26713,1.20708,1.45221,0.83395,0.83395
"2025-11-14 02:54:00",1.72969,1.52949,1.15947,1.28099,1.1783,1.43272,0.84088,0.84088
"2025-11-14 03:54:00",1.70698,1.51193,1.13505,1.28134,1.16625,1.42159,0.82969,0.82969
"2025-11-14 04:54:00",1.72564,1.5231,1.15003,1.30835,1.16523,1.42601,0.826,0.826
"2025-11-14 05:54:00",1.76373,1.56895,1.14979,1.25661,1.21815,1.47777,0.83516,0.83516
"2025-11-14 06:54:00",1.75565,1.55576,1.14921,1.2522,1.19271,1.45144,0.80694,0.80694
"2025-11-14 07:54:00",1.69011,1.49284,1.13135,1.29115,1.13115,1.39466,0.80272,0.80272
"2025-11-14 08:54:00",1.66361,1.4627,1.08501,1.21345,1.12641,1.38174,0.80004,0.80004
"2025-11-14 09:54:00",1.70203,1.5137,1.11402,1.20972,1.17012,1.42039,0.80604,0.80604
"2025-11-14 10:50:35",1.78553,1.59378,1.14141,1.24643,1.20821,1.4802,0.84177,0.84177
"2025-11-14 11:54:00",1.6655,1.47942,1.0757,1.20891,1.12797,1.38802,0.79352,0.79352
"2025-11-14 12:54:00",1.74493,1.54102,1.16081,1.22429,1.20028,1.46045,0.84067,0.84067
"2025-11-14 13:54:00",1.67079,1.46205,1.11545,1.27074,1.13262,1.39195,0.79511,0.79511
"2025-11-14 14:54:00",1.68788,1.48278,1.14666,1.28401,1.17343,1.42042,0.81959,0.81959
"2025-11-14 15:54:00",1.67658,1.47177,1.13054,1.25981,1.16152,1.41264,0.80881,0.80881
"2025-11-14 16:54:00",1.68173,1.48228,1.14455,1.23138,1.16764,1.42037,0.82727,0.82727
"2025-11-14 17:54:00",1.65704,1.46861,1.1386,1.24033,1.17203,1.41011,0.82496,0.82496
"2025-11-14 18:54:00",1.72723,1.51457,1.14877,1.23955,1.19004,1.44631,0.83349,0.83349
"2025-11-14 19:54:00",1.70915,1.50582,1.15164,1.21195,1.19905,1.44432,0.85043,0.85043
"2025-11-14 20:54:00",1.76406,1.55941,1.16841,1.23238,1.2272,1.48528,0.86326,0.86326
"2025-11-14 21:54:00",1.66405,1.46522,1.14135,1.27006,1.15508,1.40162,0.83065,0.83065
"2025-11-14 22:54:00",1.72425,1.52834,1.15983,1.26756,1.21911,1.46105,0.87373,0.87373
"2025-11-14 23:54:00",1.60912,1.42187,1.11721,1.28349,1.13287,1.36522,0.80936,0.80936
"2025-11-15 00:54:00",1.63688,1.4453,1.09653,1.30444,1.11033,1.36753,0.78716,0.78716
"2025-11-15 01:54:00",1.66352,1.47867,1.10688,1.31766,1.13473,1.39777,0.8003,0.8003
"2025-11-15 02:54:00",1.65787,1.46622,1.1165,1.30423,1.13423,1.39326,0.7871,0.7871
