"DateTime","9RV","10RV","7RV","8RV","1RV","2RH","3RV","4RV"
"2025-12-15 00:52:00",1.90634,2.16116,2.09936,2.27761,1.45685,1.54204,1.77311,1.61332
"2025-12-15 01:52:00",1.93537,2.27609,2.14889,2.18314,1.42506,1.51012,1.72217,1.63846
"2025-12-15 02:52:00",1.92116,2.25439,2.15942,2.21095,1.44221,1.53473,1.73504,1.65784
"2025-12-15 03:52:00",1.88653,2.25127,2.13939,2.3515,1.51633,1.56218,1.80175,1.61107
"2025-12-15 04:52:00",1.95905,2.25083,2.12064,2.40033,1.44986,1.53431,1.81259,1.58922
"2025-12-15 05:52:00",1.88181,2.21881,2.09673,2.27802,1.4216,1.51458,1.77111,1.57276
"2025-12-15 06:52:00",1.81244,2.20988,2.10945,2.25729,1.43682,1.51992,1.75273,1.58239
"2025-12-15 07:52:00",1.79644,2.15249,2.10616,2.25589,1.43317,1.50922,1.7737,1.60266
"2025-12-15 08:52:00",0.10527,0.10909,0.12456,0.12779,0.13928,0.13645,0.13139,0.13788
"2025-12-15 09:52:00",1.54276,1.84374,2.01463,2.16042,1.42133,1.52711,1.71863,1.58648
"2025-12-15 10:52:00",1.58201,1.86069,1.92202,1.96734,1.36402,1.50036,1.62643,1.57871
"2025-12-15 11:52:00",1.58115,1.86067,2.05853,2.27124,1.44034,1.5306,1.75846,1.58623
"2025-12-15 12:52:00",1.66944,1.85184,2.0268,2.08509,1.42039,1.5377,1.68415,1.62289
"2025-12-15 13:52:00",1.6772,1.75588,2.10806,2.25132,1.48677,1.57939,1.76242,1.65238
"2025-12-15 14:52:00",1.68576,1.90458,2.24393,2.33539,1.53006,1.63941,1.77982,1.74156
"2025-12-15 15:52:00",1.74205,1.88598,2.22311,2.31526,1.51234,1.62539,1.80677,1.74783
"2025-12-15 16:52:00",1.69825,1.96656,2.21195,2.10459,1.40914,1.5688,1.73251,1.73311
"2025-12-15 17:52:00",1.68082,1.93869,2.26363,2.18566,1.45692,1.57972,1.7822,1.76258
"2025-12-15 18:52:00",1.62869,1.98918,2.15223,2.09941,1.45479,1.57009,1.8071,1.72779
"2025-12-15 19:52:00",1.70642,2.03566,2.11107,1.99805,1.47593,1.60166,1.81246,1.76402
"2025-12-15 20:52:00",1.69809,2.02062,2.12913,2.14002,1.45073,1.54328,1.8061,1.72538
"2025-12-15 21:52:00",1.7974,2.09443,2.16889,2.17239,1.49027,1.60056,1.79794,1.73293
"2025-12-15 22:52:00",1.84635,2.16742,2.20609,2.16531,1.45886,1.56371,1.79384,1.75593
"2025-12-15 23:52:00",1.7556,2.06689,2.12119,2.1683,1.44319,1.54647,1.7823,1.68543
"2025-12-16 00:52:00",1.77419,2.19182,2.12414,2.17643,1.43936,1.52399,1.79237,1.66942
"2025-12-16 01:52:00",1.89693,2.37446,2.25043,2.20853,1.54012,1.67098,1.75968,1.79069
"2025-12-16 02:52:00",1.78452,2.33926,2.16906,2.16141,1.52446,1.66238,1.74199,1.73715
"2025-12-16 03:52:00",1.82593,2.44579,2.20725,2.26569,1.58174,1.691,1.76221,1.71229
"2025-12-16 04:52:00",1.96468,2.47823,2.15576,2.19526,1.521,1.63593,1.74012,1.7
"2025-12-16 05:52:00",1.92824,2.40323,2.15318,2.09143,1.50599,1.66987,1.69757,1.71622
"2025-12-16 06:52:00",1.90271,2.44541,2.1389,2.10521,1.50107,1.62921,1.70235,1.72113
"2025-12-16 07:52:00",2.07887,2.48478,2.16948,2.16366,1.55863,1.69253,1.68814,1.70597
"2025-12-16 08:52:00",0.41124,0.43479,0.87496,0.8018,0.54102,0.6616,1.57648,2.10825
"2025-12-16 09:52:00",0.06824,0.06621,0.08075,0.08039,0.07669,0.07145,0.07124,0.06718
"2025-12-16 10:52:00",0.0553,0.05741,0.06194,0.06699,0.06518,0.06077,0.05634,0.06884
"2025-12-16 11:52:00",0.05729,0.06048,0.0592,0.06696,0.06125,0.06157,0.05856,0.07
"2025-12-16 12:52:00",0.06973,0.06559,0.06864,0.07193,0.06923,0.0677,0.06823,0.06796
"2025-12-16 13:52:00",0.06085,0.06063,0.06817,0.06508,0.06511,0.0543,0.06004,0.06445
"2025-12-16 14:52:00",0.04788,0.05832,0.05998,0.05916,0.06248,0.05795,0.05676,0.05762
"2025-12-16 15:52:00",0.05529,0.05342,0.05911,0.06379,0.06372,0.05853,0.05544,0.06281
"2025-12-16 16:52:00",0.05785,0.05756,0.06048,0.05972,0.06282,0.05198,0.06117,0.06389
"2025-12-16 17:52:00",1.08145,1.54324,1.60611,1.88693,1.10182,1.2665,1.55482,1.23857
"2025-12-16 18:52:00",1.25654,1.46765,1.90041,2.13005,1.28639,1.11466,1.65404,1.45148
"2025-12-16 19:52:00",1.36021,1.43753,1.87843,1.98645,1.28725,1.16815,1.66082,1.51746
"2025-12-16 20:52:00",1.38261,1.57744,2.00667,2.24819,1.31793,1.12483,1.81692,1.57124
"2025-12-16 21:52:00",1.43567,1.63445,2.0399,2.2253,1.32369,1.14283,1.8409,1.60042
"2025-12-16 22:52:00",1.5009,1.60932,2.09114,2.27075,1.33879,1.1759,1.83704,1.63929
"2025-12-16 23:52:00",1.54157,1.67271,2.13786,2.31292,1.34952,1.20441,1.8516,1.65876
"2025-12-17 00:52:00",1.53788,1.63767,2.01837,2.14501,1.29683,1.23106,1.78941,1.62391
"2025-12-17 01:52:00",1.5922,1.66838,2.10702,2.22485,1.33089,1.23757,1.84459,1.67294
"2025-12-17 02:52:00",1.58147,1.6576,2.12495,2.22942,1.33571,1.23314,1.85024,1.67923
"2025-12-17 03:52:00",1.58872,1.77746,2.09652,2.1213,1.29137,1.21874,1.84961,1.71271
"2025-12-17 04:52:00",1.53837,1.72001,2.13106,2.20581,1.323,1.23571,1.85843,1.69753
"2025-12-17 05:52:00",1.55876,1.71724,2.09944,2.16017,1.30646,1.23909,1.8242,1.67852
"2025-12-17 06:52:00",1.58068,1.65263,2.01621,2.07569,1.27426,1.21735,1.78585,1.65068
"2025-12-17 07:52:00",1.56726,1.69423,2.0746,2.10611,1.27146,1.2194,1.80399,1.6721
"2025-12-17 08:52:00",1.56439,1.71339,2.04155,2.08202,1.29076,1.27989,1.76268,1.65849
"2025-12-17 09:52:00",1.53442,1.65836,2.15684,2.29075,1.38873,1.26921,1.8446,1.68367
"2025-12-17 10:52:00",1.49045,1.66663,2.14356,2.26042,1.35507,1.26379,1.85446,1.67845
"2025-12-17 11:52:00",1.43673,1.66196,2.00942,2.04755,1.29772,1.27883,1.78164,1.62997
"2025-12-17 12:52:00",1.49228,1.7821,1.91864,1.84912,1.23987,1.34481,1.78034,1.66787
"2025-12-17 13:52:00",1.57155,1.79926,1.97732,1.90135,1.26677,1.35224,1.77906,1.68924
"2025-12-17 14:52:00",1.45623,1.66278,2.00178,2.10916,1.26544,1.30797,1.74673,1.60114
"2025-12-17 15:52:00",1.47456,1.59822,2.07168,2.19147,1.332,1.35021,1.78258,1.62375
"2025-12-17 16:52:00",1.52824,1.64699,2.13698,2.24048,1.39232,1.34513,1.8238,1.67706
"2025-12-17 17:52:00",1.57811,1.78912,2.04726,1.95335,1.28822,1.37955,1.84232,1.72905
"2025-12-17 18:52:00",1.55012,1.7973,2.05766,1.98511,1.25437,1.36973,1.80218,1.71021
"2025-12-17 19:52:00",1.56902,1.81683,2.05455,1.94696,1.24305,1.33211,1.77166,1.72215
"2025-12-17 20:52:00",1.56878,1.76588,2.09052,2.06575,1.28345,1.3399,1.76028,1.70526
"2025-12-17 21:52:00",1.56484,1.79171,2.06896,2.00684,1.26705,1.38166,1.75144,1.6934
"2025-12-17 22:52:00",1.55722,1.73796,2.09398,2.11666,1.33634,1.36985,1.78368,1.67159
"2025-12-17 23:52:00",1.78098,1.90465,2.1258,2.01634,1.2765,1.38959,1.80562,1.7745
"2025-12-18 00:52:00",1.73869,1.87609,2.07598,2.0058,1.3073,1.39056,1.7544,1.70687
"2025-12-18 01:52:00",1.77157,1.86121,2.09045,2.03859,1.34181,1.40647,1.79458,1.72539
"2025-12-18 02:52:00",1.715,1.87404,2.11608,2.07207,1.34459,1.44596,1.82009,1.72904
